Name,price,rate,n_vote,link,author,description,freqBought
 Trading and Exchanges: Market Microstructure for Practitioners ,"[122.28, 50.91, 49.99]",0.8800000000000001,82,http://www.amazon.com/gp/product/0195144708/ref=as_li_qf_sp_asin_il_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789%2c1789&amp;creative=9325%2c9325&amp;creativeASIN=0195144708%2c0195144708&amp;linkCode=as2%2cas2&amp;linkId=ZUXSDTOY4HCRRTERhttp%3a%2f%2fwww.amazon.com%2fgp%2fproduct%2f0195144708%2fref%3das_li_qf_sp_asin_il_tl%3fie%3dUTF8%2cZUXSDTOY4HCRRTER,['Larry Harris'],[],"['This item: Trading and Exchanges: Market Microstructure for Practitioners', 'Algorithmic Trading: Winning Strategies and Their Rationale', 'Algorithmic Trading and DMA: An introduction to direct access trading strategies']"
" The Electronic Day Trader: Successful Strategies for On-line Trading by West, George 1st edition (2000) Paperback ",[],0.64,32,http://www.amazon.com/gp/product/B010IKGMBM/ref=as_li_qf_sp_asin_il_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=B010IKGMBM&amp;linkCode=as2&amp;linkId=CXL66M5CGYBGWDYT,['Marc Friedfertig'],[' McGraw-Hill Education '],[]
 A Beginner's Guide to Day Trading Online (2nd edition) ,"[9.99, 15.99, 6.99]",0.8800000000000001,1250,http://www.amazon.com/gp/product/1593376863/ref=as_li_qf_sp_asin_il_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=1593376863&amp;linkCode=as2&amp;linkId=XGOHQCJ44TWG2UHR,['Toni Turner'],"[' 288 pages ', ' English ', ' January 19, 2007 ', ' 6 x 0.9 x 9 inches ', ' 1593376863 ', ' 978-1593376864 ']","[""This item: A Beginner's Guide to Day Trading Online (2nd edition)"", 'How to Day Trade for a Living: A Beginner’s Guide to Trading Tools and Tactics, Money Management, Discipline and Trading Psychology (Stock Market Trading and Investing)', ""A Beginner's Guide to the Stock Market: Everything You Need to Start Making Money Today""]"
 How to Get Started in Electronic Day Trading: Everything You Need to Know to Play Wall Street's Hottest Game ,[],0.7,31,http://www.amazon.com/gp/product/B000FA5KVO/ref=as_li_qf_sp_asin_il_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=B000FA5KVO&amp;linkCode=as2&amp;linkId=SCDO6PGF4XQVXI4T,['David S. Nassar'],[],[]
 Long-Term Secrets to Short-Term Trading ,"[53.99, 25.0, 41.49]",0.9,112,http://www.amazon.com/gp/product/0470915730/ref=as_li_qf_sp_asin_il_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0470915730&amp;linkCode=as2&amp;linkId=NEDVX6T4DFM6X2BK,['Larry R. Williams'],"[' 320 pages ', ' English ', ' Wiley ', ' December 6, 2011 ', ' 7.2 x 1.3 x 10 inches ', ' 9780470915738 ', ' 978-0470915738 ']","['This item: Long-Term Secrets to Short-Term Trading', 'The Secrets of Selecting Stocks for Immediate and Substantial Gains', 'How I Made One Million Dollars ... Last Year ... Trading Commodities']"
 Trade Stocks and Commodities with the Insiders ,"[49.99, 53.99, 41.49]",0.8800000000000001,86,http://www.amazon.com/gp/product/0471741256/ref=as_li_qf_sp_asin_il_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0471741256&amp;linkCode=as2&amp;linkId=B7CTLJFPGGKRXGMN,['Larry R. Williams'],"[' 224 pages ', ' English ', ' Wiley ', ' August 29, 2005 ', ' 6 x 0.7 x 9 inches ', ' 0471741256 ', ' 978-0471741251 ']","['This item: Trade Stocks and Commodities with the Insiders', 'Long-Term Secrets to Short-Term Trading', 'How I Made One Million Dollars ... Last Year ... Trading Commodities']"
 The Zurich Axioms: The rules of risk and reward used by generations of Swiss bankers ,"[19.99, 19.99, 19.99]",0.9,386,http://www.amazon.com/gp/product/1897597495/ref=as_li_qf_sp_asin_il_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=1897597495&amp;linkCode=as2&amp;linkId=ZH5VBZHCM756ZR6Q,['Max Gunther'],"[' 140 pages ', ' English ', ' Harriman House ', ' January 1, 2005 ', ' 6.08 x 0.36 x 8.98 inches ', ' 1897597495 ', ' 978-1897597491 ']","['This item: The Zurich Axioms: The rules of risk and reward used by generations of Swiss bankers', 'The Luck Factor: Why Some People Are Luckier Than Others and How You Can Become One of Them', ""How to Get Lucky: 13 techniques for discovering and taking advantage of life's good breaks""]"
 The Mental Edge in Trading : Adapt Your Personality Traits and Control Your Emotions to Make Smarter Investments ,"[30.75, 23.39, 18.59]",0.86,43,http://www.amazon.com/gp/product/0071799400/ref=as_li_qf_sp_asin_il_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0071799400&amp;linkCode=as2&amp;linkId=6VVRUX6YE2FCBAUS,['Jason Williams MD'],"[' 240 pages ', ' English ', ' McGraw Hill ', ' November 27, 2012 ', ' 6.4 x 0.9 x 9.3 inches ', ' 0071799400 ', ' 978-0071799409 ']","['This item: The Mental Edge in Trading : Adapt Your Personality Traits and Control Your Emotions to Make Smarter Investments', 'Trading in the Zone: Master the Market with Confidence, Discipline and a Winning Attitude', 'Market Wizards: Interviews with Top Traders']"
 Trading Beyond the Matrix: The Red Pill for Traders and Investors ,"[28.49, 25.08, 24.35]",0.8400000000000001,196,http://www.amazon.com/gp/product/1118525663/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=1118525663&amp;linkCode=as2&amp;linkId=FOBV3SZDHO3UNNQB,['Van K. Tharp'],[],"['This item: Trading Beyond the Matrix: The Red Pill for Traders and Investors', 'Super Trader, Expanded Edition: Make Consistent Profits in Good and Bad Markets', 'Trade Your Way to Financial Freedom']"
" Super Trader, Expanded Edition: Make Consistent Profits in Good and Bad Markets ","[25.08, 24.35, 28.49]",0.8800000000000001,275,http://www.amazon.com/gp/product/007174908X/ref=as_li_qf_sp_asin_il_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=007174908X&amp;linkCode=as2&amp;linkId=EE2FCXEQTFZVVCRW,['Van K. Tharp'],"[' 320 pages ', ' English ', ' McGraw Hill ', ' December 3, 2010 ', ' 6.4 x 0.81 x 9.3 inches ', ' 007174908X ', ' 978-0071749084 ']","['This item: Super Trader, Expanded Edition: Make Consistent Profits in Good and Bad Markets', 'Trade Your Way to Financial Freedom', 'Trading Beyond the Matrix: The Red Pill for Traders and Investors']"
 Trade Your Way to Financial Freedom ,"[24.35, 25.08, 23.39]",0.9,576,http://www.amazon.com/gp/product/007147871X/ref=as_li_qf_sp_asin_il_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=007147871X&amp;linkCode=as2&amp;linkId=GZMUMV6RL27NWC42,['Van K. Tharp'],[],"['This item: Trade Your Way to Financial Freedom', 'Super Trader, Expanded Edition: Make Consistent Profits in Good and Bad Markets', 'Trading in the Zone: Master the Market with Confidence, Discipline and a Winning Attitude']"
 Market Wizards: Interviews with Top Traders ,"[18.59, 24.35]",0.9400000000000001,1838,http://www.amazon.com/gp/product/1118273052/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=1118273052&amp;linkCode=as2&amp;linkId=YS6AAB65OWL74QGJ,['Jack D. Schwager'],"[' 512 pages ', ' English ', ' Wiley ', ' February 7, 2012 ', ' 6 x 1.3 x 8.9 inches ', ' 1118273052 ', ' 978-1118273050 ']","['This item: Market Wizards: Interviews with Top Traders', 'Trade Your Way to Financial Freedom']"
 Market Wizards: Interviews with Top Traders ,"[18.59, 24.35]",0.9400000000000001,1838,http://www.amazon.com/gp/product/1118273052/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=1118273052&amp;linkCode=as2&amp;linkId=YS6AAB65OWL74QGJ,['Jack D. Schwager'],"[' 512 pages ', ' English ', ' Wiley ', ' February 7, 2012 ', ' 6 x 1.3 x 8.9 inches ', ' 1118273052 ', ' 978-1118273050 ']","['This item: Market Wizards: Interviews with Top Traders', 'Trade Your Way to Financial Freedom']"
 Martin Zweig's Winning on Wall Street ,"[15.79, 8.99, 21.95]",0.8800000000000001,216,http://www.amazon.com/gp/product/0446672815/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0446672815&amp;linkCode=as2&amp;tag=stockmastrate-20&amp;linkId=TE5M243UBKFKHF5Q,['Martin Zweig'],"[' 304 pages ', ' English ', ' June 1, 1997 ', ' 5 x 0.77 x 8 inches ', ' 0446672815 ', ' 978-0446672818 ']","[""This item: Martin Zweig's Winning on Wall Street"", ""Stock Market Wizards: Interviews with America's Top Stock Traders"", 'The Nature of Risk: Stock Market Survival & the Meaning of Life (Contrary Opinion Library)']"
 Trading in a Nutshell: Planning for Consistently Profitable Trading ,[],0.9400000000000001,15,http://www.amazon.com/gp/product/0730378152/ref=as_li_qf_sp_asin_il_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0730378152&amp;linkCode=as2&amp;linkId=DXKOLOS7L4RJLSDD,[],[],[]
 Way of the Turtle: The Secret Methods that Turned Ordinary People into Legendary Traders ,[],0.8800000000000001,528,http://www.amazon.com/gp/product/007148664X/ref=as_li_qf_sp_asin_il_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=007148664X&amp;linkCode=as2&amp;linkId=VNLAE4YTT5W2S4PL,['Curtis Faith'],"[' 288 pages ', ' 288 pages ', ' English ', ' McGraw-Hill ', ' March 9, 2007 ', ' 6.3 x 1.05 x 9.3 inches ', ' 007148664X ', ' 978-0071486644 ']",[]
 Long-Term Secrets to Short-Term Trading ,"[53.99, 25.0, 41.49]",0.9,112,http://www.amazon.com/gp/product/0470915730/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0470915730&amp;linkCode=as2&amp;linkId=KZPRAV7B6SP26L34,['Larry R. Williams'],"[' 320 pages ', ' English ', ' Wiley ', ' December 6, 2011 ', ' 7.2 x 1.3 x 10 inches ', ' 9780470915738 ', ' 978-0470915738 ']","['This item: Long-Term Secrets to Short-Term Trading', 'The Secrets of Selecting Stocks for Immediate and Substantial Gains', 'How I Made One Million Dollars ... Last Year ... Trading Commodities']"
 Trading Systems That Work: Building and Evaluating Effective Trading Systems ,"[36.58, 64.87, 47.5]",0.74,36,http://www.amazon.com/gp/product/007135980X/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=007135980X&amp;linkCode=as2&amp;linkId=5SRXCIMZBWJR4FVW,['Thomas Stridsman'],[],"['This item: Trading Systems That Work: Building and Evaluating Effective Trading Systems', 'The Encyclopedia of Trading Strategies', 'Technical Analysis of the Financial Markets: A Comprehensive Guide to Trading Methods and Applications']"
 Trading Systems and Money Management (The Irwin Trader's Edge Series) ,[],0.6799999999999999,4,http://www.amazon.com/gp/product/0071400192/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0071400192&amp;linkCode=as2&amp;linkId=72FF2MYGP3OJ4HTN,['Thomas Stridsman'],[],[]
 The Trading Game: Playing by the Numbers to Make Millions ,"[54.94, 71.28, 74.75]",0.64,47,http://www.amazon.com/gp/product/0471316989/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0471316989&amp;linkCode=as2&amp;linkId=YFMN4KJZQL55HG5M,['Ryan Jones'],[],"['This item: The Trading Game: Playing by the Numbers to Make Millions', 'The Mathematics of Money Management: Risk Analysis Techniques for Traders', 'The Handbook of Portfolio Mathematics: Formulas for Optimal Allocation & Leverage']"
 Stocks on the Move: Beating the Market with Hedge Fund Momentum Strategies ,[],0.9199999999999999,227,http://www.amazon.com/gp/product/B00YPHZO3W/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=B00YPHZO3W&amp;linkCode=as2&amp;linkId=BSLZ42Y4MMKNPFES,['Andreas Clenow'],"[' 288 pages ', ' English ', ' June 15, 2015 ', ' 4013 KB ', ' Enabled ', ' Enabled ', ' Enabled ']",[]
 Following the Trend: Diversified Managed Futures Trading ,"[56.53, 14.99, 24.5]",0.9199999999999999,151,http://www.amazon.com/gp/product/1118410858/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=1118410858&amp;linkCode=as2&amp;linkId=LZNAZZW5HRYJI6LX,['Andreas Clenow'],[],"['This item: Following the Trend: Diversified Managed Futures Trading', 'Stocks on the Move: Beating the Market with Hedge Fund Momentum Strategies', 'Trading Evolved: Anyone can Build Killer Trading Strategies in Python']"
 The Buy Side: A Wall Street Trader's Tale of Spectacular Excess ,"[17.99, 18.95, 12.99]",0.8800000000000001,806,http://www.amazon.com/gp/product/0770437176/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0770437176&amp;linkCode=as2&amp;linkId=LCCR7SQZALCXW5EP,['Turney Duff'],"[' 320 pages ', ' English ', ' Currency ', ' June 17, 2014 ', ' 5.16 x 0.7 x 8 inches ', ' 9780770437176 ', ' 978-0770437176 ']","[""This item: The Buy Side: A Wall Street Trader's Tale of Spectacular Excess"", 'Hedgehogging', 'Reminiscences of a Stock Operator']"
 Broken Markets: How High Frequency Trading and Predatory Practices on Wall Street Are Destroying Investor Confidence and Your Portfolio (paperback) ,"[37.49, 13.99, 11.89]",0.82,70,http://www.amazon.com/gp/product/0133993507/ref=as_li_qf_sp_asin_il_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0133993507&amp;linkCode=as2&amp;linkId=VEROY6YTVI7UZFSG,"['Sal Amuk', 'Sal L. Arnuk']",[],"['This item: Broken Markets: How High Frequency Trading and Predatory Practices on Wall Street Are Destroying Investor Confidence and Your Portfolio (paperback)', 'Dark Pools: The Rise of the Machine Traders and the Rigging of the U.S. Stock Market', 'Flash Boys: A Wall Street Revolt']"
 Algorithmic Trading: Winning Strategies and Their Rationale ,"[50.91, 32.99, 60.0]",0.86,105,http://www.amazon.com/gp/product/1118460146/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=1118460146&amp;linkCode=as2&amp;linkId=6M3ENVB5CQS27NHE,"['Ernie Chan', 'Ernest P. Chan']",[],"['This item: Algorithmic Trading: Winning Strategies and Their Rationale', 'Quantitative Trading: How to Build Your Own Algorithmic Trading Business (Wiley Trading)', 'Machine Trading: Deploying Computer Algorithms to Conquer the Markets (Wiley Trading)']"
 Quantitative Trading: How to Build Your Own Algorithmic Trading Business ,"[32.99, 44.94, 50.91, 60.0]",0.82,121,http://www.amazon.com/gp/product/0470284889/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0470284889&amp;linkCode=as2&amp;linkId=Z7PP4R3PYTZEYFYG,['Ernest P. Chan'],[],"['This item: Quantitative Trading: How to Build Your Own Algorithmic Trading Business', 'Algorithmic Trading: Winning Strategies and Their Rationale', 'Machine Trading: Deploying Computer Algorithms to Conquer the Markets (Wiley Trading)']"
 Trading and Exchanges: Market Microstructure for Practitioners ,"[122.28, 50.91, 49.99]",0.8800000000000001,82,http://www.amazon.com/gp/product/0195144708/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0195144708&amp;linkCode=as2&amp;linkId=SIGOFUZNWRJWTGEF,['Larry Harris'],[],"['This item: Trading and Exchanges: Market Microstructure for Practitioners', 'Algorithmic Trading: Winning Strategies and Their Rationale', 'Algorithmic Trading and DMA: An introduction to direct access trading strategies']"
 Algorithmic Trading and DMA: An introduction to direct access trading strategies ,"[49.99, 122.28, 50.91]",0.8800000000000001,78,http://www.amazon.com/gp/product/0956399207/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0956399207&amp;linkCode=as2&amp;linkId=7QJ7W327WDVQRUPH,[],"[' 592 pages ', ' English ', ' February 17, 2010 ', ' 7.44 x 1.34 x 9.69 inches ', ' 0956399207 ', ' 978-0956399205 ']","['This item: Algorithmic Trading and DMA: An introduction to direct access trading strategies', 'Trading and Exchanges: Market Microstructure for Practitioners', 'Algorithmic Trading: Winning Strategies and Their Rationale']"
 The Leverage Space Trading Model: Reconciling Portfolio Management Strategies and Economic Theory (Wiley Trading Book 425) ,[],1.0,3,http://www.amazon.com/gp/product/B002AWX62U/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=B002AWX62U&amp;linkCode=as2&amp;linkId=R5T7GZWQ2MPFMYD7,['Ralph Vince'],[],[]
 The Handbook of Portfolio Mathematics: Formulas for Optimal Allocation & Leverage ,"[74.75, 71.28, 41.97]",0.78,15,http://www.amazon.com/gp/product/0471757683/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0471757683&amp;linkCode=as2&amp;linkId=VWX2E5FQMVBHR6NP,['Ralph Vince'],[],"['This item: The Handbook of Portfolio Mathematics: Formulas for Optimal Allocation & Leverage', 'The Mathematics of Money Management: Risk Analysis Techniques for Traders', 'The Leverage Space Trading Model: Reconciling Portfolio Management Strategies and Economic Theory']"
 Sequential Analysis ,"[15.95, 54.95]",0.9199999999999999,16,http://www.amazon.com/gp/product/0486615790/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0486615790&amp;linkCode=as2&amp;linkId=THZR476RI57FHTJV,['Abraham Wald'],[],"['This item: Sequential Analysis', 'Sequential Analysis (Chapman & Hall/CRC Monographs on Statistics and Applied Prob)']"
 Technical Analysis of Stock Trends ,[85.49],0.9,36,http://www.amazon.com/gp/product/0814408648/ref=as_li_qf_sp_asin_il_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0814408648&amp;linkCode=as2&amp;linkId=ZUOG5EMFE66SFO57,[],[],[]
 Trading Systems and Methods + Website (5th edition) Wiley Trading ,[78.99],0.8400000000000001,59,http://www.amazon.com/gp/product/1118043561/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=1118043561&amp;linkCode=as2&amp;linkId=Z5AXCFV2PYTDZHXU,['Perry J. Kaufman'],[],[]
 Inside the Black Box: A Simple Guide to Quantitative and High Frequency Trading ,"[36.99, 50.91, 32.99]",0.8400000000000001,77,http://www.amazon.com/gp/product/1118362411/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=1118362411&amp;linkCode=as2&amp;linkId=QJGKYWYJC54KYMMQ,['Rishi K. Narang'],[],"['This item: Inside the Black Box: A Simple Guide to Quantitative and High Frequency Trading', 'Algorithmic Trading: Winning Strategies and Their Rationale', 'Quantitative Trading: How to Build Your Own Algorithmic Trading Business (Wiley Trading)']"
 The Logic Of Failure: Recognizing And Avoiding Error In Complex Situations ,"[18.99, 11.29, 20.49]",0.8800000000000001,181,http://www.amazon.com/gp/product/0201479486/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0201479486&amp;linkCode=as2&amp;linkId=BGQLUQULUAJ2VPG3,['Dietrich Dörner'],"[' 240 pages ', ' English ', ' Basic Books ', ' August 4, 1997 ', ' 9.42 x 6.04 x 0.61 inches ', ' 0201479486 ', ' 978-0201479485 ']","['This item: The Logic Of Failure: Recognizing And Avoiding Error In Complex Situations', 'Thinking, Fast and Slow', 'Sources of Power: 20th Anniversary Edition']"
 Cycle Analytics for Traders: Advanced Technical Trading Concepts ,"[93.85, 93.7, 86.18]",0.82,25,http://www.amazon.com/gp/product/1118728513/ref=as_li_qf_sp_asin_il_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=1118728513&amp;linkCode=as2&amp;linkId=C4FQ45BYH4PFJNZU,['John F. Ehlers'],[],"['This item: Cycle Analytics for Traders: Advanced Technical Trading Concepts', 'Cybernetic Analysis for Stocks and Futures: Cutting-Edge DSP Technology to Improve Your Trading', 'Rocket Science for Traders: Digital Signal Processing Applications']"
 The Quantifiable Edges Guide To Fed Days ,[],0.9199999999999999,3,http://www.amazon.com/gp/product/1453613587/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=1453613587&amp;linkCode=as2&amp;linkId=OMHNHBJODV2CW44G,['Robert B. Hanna'],"[' 68 pages ', ' English ', ' June 10, 2010 ', ' 8 x 0.16 x 10 inches ', ' 1453613587 ', ' 978-1453613580 ']",[]
 Enhancing Trader Performance ,"[59.58, 30.49, 51.35]",0.8800000000000001,80,http://www.amazon.com/gp/product/0470038667/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0470038667&amp;linkCode=as2&amp;linkId=SNCLAA6SBA335IWX,['Brett N. Steenbarger'],[],"['This item: Enhancing Trader Performance', 'Trading Psychology 2.0: From Best Practices to Best Processes (Wiley Trading)', 'The Psychology of Trading: Tools and Techniques for Minding the Markets']"
 The Psychology of Trading: Tools and Techniques for Minding the Markets ,"[51.35, 30.49, 28.11]",0.9199999999999999,209,http://www.amazon.com/gp/product/0471267619/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0471267619&amp;linkCode=as2&amp;linkId=DO7EQTVDR2O42ILX,['Brett N. Steenbarger'],[],"['This item: The Psychology of Trading: Tools and Techniques for Minding the Markets', 'Trading Psychology 2.0: From Best Practices to Best Processes (Wiley Trading)', 'The Daily Trading Coach: 101 Lessons for Becoming Your Own Trading Psychologist']"
 The Daily Trading Coach: 101 Lessons for Becoming Your Own Trading Psychologist ,"[28.11, 23.39, 30.49]",0.9199999999999999,404,http://www.amazon.com/gp/product/0470398566/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0470398566&amp;linkCode=as2&amp;linkId=G5OB63RRCHCVMJAM,['Brett N. Steenbarger'],[],"['This item: The Daily Trading Coach: 101 Lessons for Becoming Your Own Trading Psychologist', 'Trading in the Zone: Master the Market with Confidence, Discipline and a Winning Attitude', 'Trading Psychology 2.0: From Best Practices to Best Processes (Wiley Trading)']"
 Mean Reversion Trading System: Practical Methods for Swing Trading ,"[32.95, 29.95, 19.95]",0.74,37,http://www.amazon.com/gp/product/0979183847/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0979183847&amp;linkCode=as2&amp;tag=bst08-20&amp;linkId=TICFVZQT3G4S3Y7T,['Howard B. Bandy'],"[' 240 pages ', ' English ', ' January 15, 2013 ', ' 7 x 0.55 x 10 inches ', ' 0979183847 ', ' 978-0979183843 ']","['This item: Mean Reversion Trading System: Practical Methods for Swing Trading', 'Modeling Trading System Performance: Monte Carlo Simulation, Position Sizing, Risk Management, and Statistics', 'Quantitative Trading Systems: Practical Methods for Design, Testing, and Validation']"
" Quantitative Trading Systems: Practical Methods for Design, Testing, and Validation ","[19.95, 32.95, 29.95]",0.8,21,http://www.amazon.com/gp/product/0979183839/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0979183839&amp;linkCode=as2&amp;linkId=W3AEGGQDWL7RWUIU,['Howard B. Bandy'],"[' 376 pages ', ' English ', ' June 1, 2011 ', ' 7 x 0.85 x 10 inches ', ' 0979183839 ', ' 978-0979183836 ']","['This item: Quantitative Trading Systems: Practical Methods for Design, Testing, and Validation', 'Mean Reversion Trading System: Practical Methods for Swing Trading', 'Modeling Trading System Performance: Monte Carlo Simulation, Position Sizing, Risk Management, and Statistics']"
 Quantitative Technical Analysis: An integrated approach to trading system development and trading management ,"[74.95, 32.95, 19.95]",0.76,40,http://www.amazon.com/gp/product/0979183855/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0979183855&amp;linkCode=as2&amp;linkId=JZWXIIQZUDCMYD4U,['Howard B. Bandy'],[],"['This item: Quantitative Technical Analysis: An integrated approach to trading system development and trading management', 'Mean Reversion Trading System: Practical Methods for Swing Trading', 'Quantitative Trading Systems: Practical Methods for Design, Testing, and Validation']"
" Modeling Trading System Performance: Monte Carlo Simulation, Position Sizing, Risk Management, and Statistics ","[29.95, 32.95, 19.95]",0.76,17,http://www.amazon.com/gp/product/0979183820/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0979183820&amp;linkCode=as2&amp;linkId=YCAMTU2WF3HLZOHR,['Howard B. Bandy'],"[' 400 pages ', ' English ', ' May 11, 2011 ', ' 7 x 0.91 x 10 inches ', ' 0979183820 ', ' 978-0979183829 ']","['This item: Modeling Trading System Performance: Monte Carlo Simulation, Position Sizing, Risk Management, and Statistics', 'Mean Reversion Trading System: Practical Methods for Swing Trading', 'Quantitative Trading Systems: Practical Methods for Design, Testing, and Validation']"
" Building Winning Algorithmic Trading Systems, + Website: A Trader's Journey From Data Mining to Monte Carlo Simulation to Live Trading (Wiley Trading) ","[36.56, 6.99, 6.99]",0.8400000000000001,196,http://www.amazon.com/gp/product/1118778987/ref=as_li_qf_sp_asin_il_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=1118778987&amp;linkCode=as2&amp;linkId=7ZEQZGMQFWLBSAQT,['Kevin J Davey'],[],"[""This item: Building Winning Algorithmic Trading Systems, + Website: A Trader's Journey From Data Mining to Monte Carlo Simulation to Live Trading (Wiley Trading)"", 'Entry and Exit Confessions of a Champion Trader: 52 Ways A Professional Speculator Gets In And Out Of The Stock, Futures And Forex Markets (Essential Algo Trading Package)', 'Introduction To Algo Trading: How Retail Traders Can Successfully Compete With Professional Traders (Essential Algo Trading Package)']"
 Market Wizards: Interviews with Top Traders ,"[18.59, 24.35]",0.9400000000000001,1838,http://www.amazon.com/gp/product/1118273052/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=1118273052&amp;linkCode=as2&amp;linkId=YS6AAB65OWL74QGJ,['Jack D. Schwager'],"[' 512 pages ', ' English ', ' Wiley ', ' February 7, 2012 ', ' 6 x 1.3 x 8.9 inches ', ' 1118273052 ', ' 978-1118273050 ']","['This item: Market Wizards: Interviews with Top Traders', 'Trade Your Way to Financial Freedom']"
